card_number,edition
5DS2-EN001,0
5DS2-EN002,0
5DS2-EN003,0
5DS2-EN004,0
5DS2-EN005,0
5DS2-EN006,0
5DS2-EN007,0
5DS2-EN008,0
5DS2-EN009,0
5DS2-EN010,0
5DS2-EN012,0
5DS2-EN013,0
5DS2-EN014,0
5DS2-EN015,0
5DS2-EN016,0
5DS2-EN017,0
5DS2-EN018,0
5DS2-EN019,0
5DS2-EN019,0
5DS2-EN020,0
5DS2-EN021,0
5DS2-EN022,0
5DS2-EN022,1
5DS2-EN023,0
5DS2-EN024,0
5DS2-EN025,0
5DS2-EN026,0
5DS2-EN027,0
5DS2-EN028,0
5DS2-EN029,0
5DS2-EN030,0
5DS2-EN031,0
5DS2-EN032,0
5DS2-EN033,0
5DS2-EN034,0
5DS2-EN035,0
5DS2-EN038,0
5DS2-EN039,0
5DS2-EN040,0
5DS2-EN041,0
5DS2-EN042,0
5DS2-EN043,0
ABYR-EN001,1
ABYR-EN003,1
ABYR-EN012,0
ABYR-EN015,1
ABYR-EN016,1
ABYR-EN021,1
ABYR-EN021,1
ABYR-EN029,1
ABYR-EN029,1
ABYR-EN036,1
ABYR-EN054,1
ABYR-EN069,1
ABYR-EN070,1
ABYR-EN076,1
ABYR-EN076,1
ABYR-EN087,1
ABYR-EN090,1
ABYR-EN091,1
ABYR-EN092,1
ABYR-EN093,1
ABYR-EN094,1
ABYR-EN096,1
ABYR-EN097,1
AST-057,1
BP01-EN008,0
BP01-EN021,0
BP01-EN027,0
BP01-EN049,0
BP01-EN052,0
BP01-EN053,0
BP01-EN057,0
BP01-EN061,0
BP01-EN091,0
BP01-EN105,0
BP01-EN137,0
BP01-EN139,0
BP01-EN144,0
BP01-EN164,0
BP01-EN173,0
BP01-EN179,0
BP01-EN195,0
BP01-EN203,0
BP01-EN213,0
BP01-EN217,0
BP02-EN041,1
BP02-EN109,1
BP02-EN144,1
BP02-EN167,1
CBLZ-EN003,1
CBLZ-EN003,1
CBLZ-EN009,1
CBLZ-EN015,1
CBLZ-EN028,1
CBLZ-EN050,1
CBLZ-EN053,1
CBLZ-EN061,1
CBLZ-EN064,1
CBLZ-EN066,1
CBLZ-EN068,1
CBLZ-EN077,1
CBLZ-EN077,1
CBLZ-EN088,1
CBLZ-EN088,1
CBLZ-EN096,1
CT08-EN016,L
CT09-EN003,L
CT09-EN004,L
CT09-EN014,L
CT09-EN015,L
CT09-EN015,L
CT09-EN016,L
CT09-EN017,L
CT09-EN018,L
CT10-EN013,L
CT10-EN015,L
CT10-EN015,L
DP05-EN015,1
DP08-EN006,1
DRLG-EN040,1
DRLG-EN041,1
DRLG-EN044,1
DRLG-EN049,1
DRLG-EN051,1
EEN-EN012,1
EEN-EN025,0
EP1-EN005,0
EP1-EN007,0
GAOV-EN001,0
GAOV-EN001,0
GAOV-EN002,0
GAOV-EN002,0
GAOV-EN003,0
GAOV-EN003,0
GAOV-EN007,0
GAOV-EN009,0
GAOV-EN010,0
GAOV-EN011,0
GAOV-EN012,0
GAOV-EN017,0
GAOV-EN018,0
GAOV-EN020,0
GAOV-EN020,0
GAOV-EN023,0
GAOV-EN028,0
GAOV-EN030,0
GAOV-EN031,0
GAOV-EN033,0
GAOV-EN034,0
GAOV-EN035,0
GAOV-EN037,0
GAOV-EN038,0
GAOV-EN038,0
GAOV-EN047,0
GAOV-EN053,0
GAOV-EN054,0
GAOV-EN056,0
GAOV-EN057,0
GAOV-EN063,0
GAOV-EN063,0
GAOV-EN064,0
GAOV-EN064,0
GAOV-EN065,0
GAOV-EN069,0
GAOV-EN070,0
GAOV-EN079,0
GAOV-EN079,0
GAOV-EN082,0
GAOV-EN093,0
GAOV-EN095,0
GAOV-EN095,0
GAOV-EN096,0
GAOV-EN097,0
GLD5-EN021,L
GLD5-EN040,L
IOC-038,0
IOC-058,0
IOC-060,0
IOC-073,0
JOTL-EN005,1
JOTL-EN009,1
JOTL-EN021,1
JOTL-EN023,1
JOTL-EN025,1
JOTL-EN026,1
JOTL-EN027,1
JOTL-EN075,1
JOTL-EN075,1
JOTL-EN086,1
JOTL-EN097,1
JOTL-EN099,1
LCJW-EN134,1
LOB-122,1
LON-037,1
LON-040,1
LON-050,1
LON-053,1
LON-070,1
LON-082,1
LON-E096,0
LVAL-EN003,1
LVAL-EN005,1
LVAL-EN006,1
LVAL-EN007,1
LVAL-EN010,1
LVAL-EN016,1
LVAL-EN021,1
LVAL-EN021,1
LVAL-EN023,1
LVAL-EN023,1
LVAL-EN023,1
LVAL-EN024,1
LVAL-EN024,1
LVAL-EN024,1
LVAL-EN025,1
LVAL-EN025,1
LVAL-EN027,1
LVAL-EN027,1
LVAL-EN028,1
LVAL-EN028,1
LVAL-EN029,0
LVAL-EN029,1
LVAL-EN030,1
LVAL-EN032,1
LVAL-EN042,1
LVAL-EN045,1
LVAL-EN046,1
LVAL-EN048,1
LVAL-EN049,1
LVAL-EN050,1
LVAL-EN051,0
LVAL-EN062,1
LVAL-EN064,1
LVAL-EN064,1
LVAL-EN065,1
LVAL-EN068,1
LVAL-EN075,1
LVAL-EN075,1
LVAL-EN075,1
LVAL-EN082,1
LVAL-EN082,1
LVAL-EN082,1
LVAL-EN090,1
LVAL-EN095,1
MFC-012,1
MFC-013,1
MFC-030,1
MFC-034,0
MFC-057,1
MFC-092,1
MFC-106,1
MFC-107,1
MRD-014,1
MRD-081,1
MRD-082,1
MRD-133,1
MRL-039,1
NUMH-EN001,1
NUMH-EN001,1
NUMH-EN003,1
NUMH-EN003,1
NUMH-EN009,1
NUMH-EN009,1
NUMH-EN014,1
NUMH-EN015,1
NUMH-EN015,1
NUMH-EN016,1
NUMH-EN017,1
NUMH-EN018,1
NUMH-EN019,1
NUMH-EN019,1
NUMH-EN020,1
NUMH-EN020,1
NUMH-EN022,1
NUMH-EN023,1
NUMH-EN023,1
NUMH-EN024,1
NUMH-EN024,1
NUMH-EN030,1
NUMH-EN031,1
NUMH-EN034,1
NUMH-EN034,1
NUMH-EN035,1
NUMH-EN036,1
NUMH-EN036,1
NUMH-EN041,1
NUMH-EN041,1
NUMH-EN042,1
NUMH-EN043,1
NUMH-EN043,1
NUMH-EN046,1
NUMH-EN047,1
NUMH-EN048,1
NUMH-EN049,1
NUMH-EN050,1
NUMH-EN051,1
NUMH-EN053,1
NUMH-EN054,1
NUMH-EN057,1
NUMH-EN057,1
NUMH-EN058,1
NUMH-EN059,1
ORCS-EN005,0
ORCS-EN010,0
ORCS-EN011,0
ORCS-EN011,0
ORCS-EN013,0
ORCS-EN014,0
ORCS-EN015,0
ORCS-EN019,0
ORCS-EN021,0
ORCS-EN022,0
ORCS-EN030,0
ORCS-EN032,0
ORCS-EN036,0
ORCS-EN050,0
ORCS-EN052,0
ORCS-EN060,0
ORCS-EN061,0
ORCS-EN064,0
ORCS-EN087,0
ORCS-EN098,0
PGD-007,1
PGD-012,1
PGD-043,1
PGD-047,1
PGD-073,1
PGLD-EN002,1
PGLD-EN004,0
PGLD-EN005,0
PGLD-EN011,1
PGLD-EN014,0
PGLD-EN018,1
PGLD-EN024,1
PGLD-EN029,0
PGLD-EN031,1
PGLD-EN034,0
PGLD-EN037,0
PGLD-EN044,0
PGLD-EN047,1
PGLD-EN048,1
PGLD-EN053,0
PGLD-EN058,0
PGLD-EN070,0
PGLD-EN073,0
PHSW-EN002,1
PHSW-EN003,1
PHSW-EN036,1
PHSW-EN045,1
PRC1-EN012,1
PRC1-EN021,1
PRC1-ENV02,L
PRIO-EN002,0
PRIO-EN002,1
PRIO-EN002,1
PRIO-EN003,1
PRIO-EN003,1
PRIO-EN005,1
PRIO-EN006,1
PRIO-EN008,1
PRIO-EN012,1
PRIO-EN019,0
PRIO-EN022,1
PRIO-EN023,1
PRIO-EN023,1
PRIO-EN023,1
PRIO-EN023,1
PRIO-EN023,1
PRIO-EN027,1
PRIO-EN032,1
PRIO-EN043,1
PRIO-EN044,1
PRIO-EN045,1
PRIO-EN046,1
PRIO-EN047,1
PRIO-EN047,1
PRIO-EN048,1
PRIO-EN056,1
PRIO-EN057,0
PRIO-EN059,1
PRIO-EN063,1
PRIO-EN063,1
PRIO-EN064,1
PRIO-EN064,1
PRIO-EN066,1
PRIO-EN070,1
PRIO-EN073,1
PRIO-EN074,1
PRIO-EN074,1
PRIO-EN074,1
PRIO-EN074,1
PRIO-EN075,1
PRIO-EN075,1
PRIO-EN080,0
PRIO-EN080,1
PRIO-EN091,1
PRIO-EN092,1
PRIO-EN095,1
PRIO-EN097,1
PRIO-EN098,0
PRIO-EN098,0
PRIO-EN098,1
PSV-064,0
PSV-070,1
PSV-079,0
PSV-090,1
PSV-E085,1
RA04-EN035,0
RA04-EN040,0
RA04-EN100,0
RA04-EN296,0
RDS-EN023,1
REDU-EN001,0
REDU-EN001,0
REDU-EN001,0
REDU-EN002,0
REDU-EN004,1
REDU-EN005,0
REDU-EN009,0
REDU-EN009,0
REDU-EN011,0
REDU-EN012,0
REDU-EN014,0
REDU-EN019,1
REDU-EN022,1
REDU-EN025,1
REDU-EN027,1
REDU-EN031,0
REDU-EN032,0
REDU-EN032,0
REDU-EN034,0
REDU-EN036,0
REDU-EN036,1
REDU-EN037,0
REDU-EN040,0
REDU-EN044,1
REDU-EN054,0
REDU-EN054,0
REDU-EN054,1
REDU-EN056,1
REDU-EN061,0
REDU-EN062,0
REDU-EN063,0
REDU-EN064,0
REDU-EN064,0
REDU-EN066,0
REDU-EN069,0
REDU-EN069,0
REDU-EN069,0
REDU-EN073,1
REDU-EN075,0
REDU-EN078,0
REDU-EN082,0
REDU-EN084,0
REDU-EN086,0
REDU-EN087,1
REDU-EN089,0
REDU-EN090,0
REDU-EN091,0
REDU-EN091,1
REDU-EN098,0
REDU-ENSE2,L
SD09-EN030,1
SD1-EN025,1
SD2-EN015,1
SD3-EN006,1
SDBE-EN011,1
SDBE-EN040,1
SDCR-EN019,1
SDCR-EN021,1
SDCR-EN026,1
SDCR-EN026,1
